Date,Visitor,Home,Winner,Margin
01/01/16,ORL,WAS,WAS,12
01/01/16,DAL,MIA,MIA,24
01/01/16,CHA,TOR,TOR,10
01/01/16,NYK,CHI,CHI,27
01/01/16,PHI,LAL,LAL,9
01/02/16,BKN,BOS,BKN,3
01/02/16,PHX,SAC,SAC,23
01/02/16,OKC,CHA,OKC,19
01/02/16,DET,IND,IND,12
01/02/16,ORL,CLE,CLE,25
01/02/16,MIL,MIN,MIL,10
01/02/16,NOP,DAL,NOP,7
01/02/16,HOU,SAS,SAS,18
01/02/16,MEM,UTA,UTA,5
01/02/16,DEN,GSW,GSW,3
01/02/16,PHI,LAC,LAC,31
01/03/16,ATL,NYK,NYK,14
01/03/16,CHI,TOR,CHI,2
01/03/16,MIA,WAS,MIA,22
01/03/16,POR,DEN,POR,6
01/03/16,PHX,LAL,LAL,20
01/04/16,TOR,CLE,CLE,22
01/04/16,MIN,PHI,PHI,10
01/04/16,BOS,BKN,BOS,9
01/04/16,ORL,DET,DET,26
01/04/16,IND,MIA,MIA,3
01/04/16,SAS,MIL,SAS,25
01/04/16,SAC,OKC,SAC,12
01/04/16,HOU,UTA,HOU,2
01/04/16,MEM,POR,MEM,13
01/04/16,CHA,GSW,GSW,10
01/05/16,NYK,ATL,NYK,6
01/05/16,MIL,CHI,CHI,11
01/05/16,SAC,DAL,DAL,1
01/05/16,GSW,LAL,GSW,21
01/06/16,NYK,MIA,NYK,8
01/06/16,IND,ORL,IND,9
01/06/16,CLE,WAS,CLE,6
01/06/16,DET,BOS,DET,5
01/06/16,TOR,BKN,TOR,17
01/06/16,DEN,MIN,DEN,4
01/06/16,DAL,NOP,DAL,9
01/06/16,UTA,SAS,SAS,25
01/06/16,CHA,PHX,CHA,9
01/06/16,MEM,OKC,OKC,18
01/06/16,LAC,POR,LAC,11
01/07/16,ATL,PHI,ATL,28
01/07/16,BOS,CHI,CHI,9
01/07/16,UTA,HOU,HOU,9
01/07/16,LAL,SAC,SAC,3
01/08/16,TOR,WAS,TOR,9
01/08/16,ORL,BKN,ORL,6
01/08/16,DEN,MEM,MEM,7
01/08/16,CLE,MIN,CLE,26
01/08/16,IND,NOP,IND,5
01/08/16,DAL,MIL,MIL,1
01/08/16,NYK,SAS,SAS,1
01/08/16,MIA,PHX,MIA,8
01/08/16,GSW,POR,GSW,20
01/08/16,OKC,LAL,OKC,4
01/09/16,CHA,LAC,LAC,14
01/09/16,CHI,ATL,ATL,15
01/09/16,WAS,ORL,WAS,6
01/09/16,BKN,DET,DET,14
01/09/16,TOR,PHI,TOR,13
01/09/16,MIA,UTA,UTA,15
01/09/16,GSW,SAC,GSW,12
01/10/16,NOP,LAC,LAC,3
01/10/16,DAL,MIN,DAL,6
01/10/16,CLE,PHI,CLE,10
01/10/16,BOS,MEM,MEM,3
01/10/16,IND,HOU,HOU,4
01/10/16,MIL,NYK,NYK,12
01/10/16,CHA,DEN,DEN,3
01/10/16,OKC,POR,POR,5
01/10/16,UTA,LAL,UTA,12
01/11/16,SAS,BKN,SAS,27
01/11/16,WAS,CHI,WAS,14
01/11/16,MIA,GSW,GSW,8
01/12/16,PHX,IND,IND,19
01/12/16,SAS,DET,SAS,10
01/12/16,BOS,NYK,NYK,6
01/12/16,HOU,MEM,HOU,16
01/12/16,CHI,MIL,MIL,5
01/12/16,OKC,MIN,OKC,5
01/12/16,CLE,DAL,CLE,3
01/12/16,NOP,LAL,LAL,4
01/13/16,ATL,CHA,CHA,25
01/13/16,MIL,WAS,WAS,5
01/13/16,NYK,BKN,BKN,6
01/13/16,IND,BOS,BOS,9
01/13/16,MIN,HOU,HOU,3
01/13/16,DAL,OKC,OKC,19
01/13/16,GSW,DEN,DEN,2
